iter	Passed	Remaining
0	374	373920
1	376	187653
2	377	125502
3	381	95069
4	383	76290
5	384	63750
6	386	54821
7	388	48114
8	389	42888
9	390	38700
10	392	35269
11	397	32739
12	399	30298
13	400	28213
14	401	26396
15	403	24842
16	405	23439
17	407	22234
18	409	21129
19	411	20160
20	412	19246
21	414	18420
22	416	17676
23	419	17054
24	420	16409
25	422	15814
26	423	15265
27	425	14753
28	426	14278
29	427	13833
30	433	13537
31	434	13145
32	435	12775
33	437	12429
34	438	12101
35	440	11795
36	441	11503
37	446	11304
38	449	11065
39	450	10812
40	451	10569
41	453	10340
42	454	10123
43	456	9913
44	460	9782
45	462	9592
46	463	9408
47	465	9236
48	467	9065
49	468	8903
50	470	8747
51	471	8597
52	474	8472
53	476	8339
54	477	8206
55	479	8079
56	480	7953
57	482	7831
58	490	7819
59	493	7727
60	494	7615
61	496	7505
62	497	7399
63	503	7360
64	504	7260
65	506	7163
66	507	7073
67	509	6981
68	510	6893
69	512	6806
70	517	6771
71	519	6689
72	520	6610
73	521	6531
74	523	6454
75	524	6380
76	526	6311
77	527	6239
78	532	6211
79	534	6147
80	535	6080
81	537	6016
82	538	5945
83	539	5883
84	540	5823
85	543	5773
86	544	5717
87	546	5661
88	547	5606
89	549	5555
90	550	5502
91	552	5452
92	553	5402
93	555	5356
94	558	5320
95	560	5274
96	562	5234
97	564	5191
98	565	5148
99	567	5104
100	573	5102
101	575	5065
102	576	5024
103	578	4982
104	579	4941
105	581	4901
106	587	4906
107	589	4867
108	590	4830
109	592	4794
110	593	4756
111	595	4720
112	596	4684
113	598	4650
114	599	4615
115	601	4582
116	602	4546
117	603	4513
118	605	4483
119	607	4452
120	610	4437
121	612	4407
122	614	4379
123	615	4349
124	617	4320
125	618	4291
126	620	4262
127	621	4234
128	626	4231
129	629	4214
130	631	4191
131	633	4165
132	635	4139
133	636	4115
134	642	4119
135	644	4094
136	646	4070
137	647	4046
138	650	4028
139	655	4026
140	657	4008
141	660	3988
142	663	3978
143	665	3958
144	670	3951
145	672	3932
146	673	3910
147	676	3891
148	678	3875
149	680	3858
150	682	3838
151	687	3837
152	689	3816
153	690	3795
154	694	3783
155	699	3785
156	701	3766
157	705	3757
158	709	3751
159	710	3731
160	711	3708
161	718	3715
162	719	3696
163	721	3677
164	723	3661
165	724	3641
166	726	3622
167	727	3603
168	733	3606
169	734	3587
170	736	3569
171	737	3551
172	739	3533
173	741	3518
174	742	3500
175	747	3498
176	748	3482
177	750	3465
178	751	3448
179	753	3431
180	754	3414
181	756	3398
182	757	3381
183	762	3381
184	764	3367
185	766	3352
186	769	3344
187	770	3329
188	772	3313
189	775	3306
190	777	3291
191	778	3276
192	780	3261
193	781	3246
194	782	3232
195	784	3218
196	786	3204
197	789	3198
198	791	3186
199	793	3173
200	794	3159
201	796	3145
202	797	3131
203	799	3117
204	800	3104
205	804	3101
206	806	3089
207	808	3076
208	809	3063
209	811	3050
210	812	3038
211	813	3025
212	815	3013
213	820	3013
214	822	3003
215	824	2991
216	825	2979
217	827	2967
218	828	2954
219	830	2942
220	831	2930
221	835	2927
222	836	2915
223	838	2903
224	839	2891
225	841	2880
226	842	2868
227	843	2857
228	845	2846
229	850	2848
230	852	2839
231	854	2829
232	859	2828
233	861	2819
234	865	2816
235	867	2806
236	868	2796
237	870	2786
238	872	2778
239	886	2805
240	887	2795
241	889	2784
242	890	2773
243	891	2763
244	896	2764
245	898	2754
246	900	2743
247	901	2733
248	902	2723
249	904	2713
250	905	2702
251	907	2692
252	912	2692
253	913	2682
254	914	2672
255	916	2662
256	919	2657
257	920	2647
258	922	2638
259	928	2643
260	930	2633
261	931	2624
262	933	2615
263	934	2605
264	936	2596
265	942	2600
266	944	2592
267	946	2584
268	948	2577
269	950	2568
270	951	2559
271	957	2563
272	959	2554
273	960	2545
274	962	2536
275	963	2527
276	964	2518
277	966	2510
278	969	2504
279	971	2497
280	972	2489
281	974	2481
282	975	2472
283	977	2463
284	978	2455
285	980	2447
286	984	2445
287	986	2438
288	987	2429
289	989	2421
290	990	2414
291	992	2406
292	993	2397
293	995	2389
294	1000	2391
295	1002	2383
296	1003	2375
297	1004	2367
298	1006	2359
299	1007	2351
300	1009	2343
301	1010	2336
302	1014	2333
303	1016	2326
304	1017	2318
305	1019	2312
306	1021	2304
307	1022	2297
308	1024	2290
309	1030	2293
310	1031	2285
311	1033	2278
312	1034	2271
313	1036	2263
314	1037	2256
315	1039	2249
316	1040	2242
317	1045	2242
318	1047	2235
319	1049	2230
320	1051	2224
321	1053	2217
322	1054	2210
323	1058	2208
324	1060	2203
325	1063	2198
326	1064	2191
327	1066	2184
328	1067	2177
329	1069	2170
330	1073	2169
331	1075	2164
332	1077	2157
333	1078	2151
334	1080	2145
335	1082	2138
336	1083	2131
337	1084	2124
338	1090	2125
339	1091	2119
340	1093	2113
341	1094	2106
342	1096	2099
343	1097	2093
344	1098	2086
345	1100	2080
346	1106	2082
347	1108	2076
348	1109	2069
349	1110	2063
350	1112	2056
351	1113	2050
352	1114	2043
353	1117	2038
354	1119	2033
355	1121	2027
356	1122	2022
357	1125	2017
358	1126	2012
359	1128	2005
360	1129	1999
361	1133	1997
362	1135	1992
363	1137	1987
364	1138	1981
365	1140	1974
366	1141	1969
367	1142	1962
368	1144	1957
369	1149	1957
370	1151	1951
371	1152	1945
372	1154	1939
373	1155	1934
374	1157	1928
375	1158	1922
376	1164	1923
377	1165	1917
378	1166	1911
379	1168	1906
380	1169	1900
381	1170	1894
382	1172	1889
383	1174	1883
384	1179	1884
385	1181	1880
386	1183	1874
387	1184	1868
388	1186	1863
389	1187	1857
390	1188	1851
391	1194	1852
392	1196	1847
393	1197	1841
394	1199	1836
395	1200	1830
396	1201	1825
397	1203	1819
398	1204	1814
399	1209	1814
400	1211	1809
401	1212	1804
402	1214	1798
403	1215	1793
404	1217	1788
405	1218	1782
406	1219	1777
407	1225	1778
408	1227	1773
409	1230	1770
410	1231	1765
411	1233	1760
412	1235	1756
413	1237	1751
414	1238	1746
415	1240	1741
416	1241	1735
417	1243	1731
418	1244	1726
419	1246	1721
420	1247	1716
421	1253	1716
422	1254	1711
423	1256	1706
424	1257	1701
425	1258	1696
426	1260	1691
427	1262	1686
428	1263	1681
429	1265	1677
430	1266	1672
431	1268	1667
432	1269	1662
433	1271	1657
434	1272	1652
435	1273	1647
436	1275	1643
437	1281	1643
438	1282	1638
439	1283	1633
440	1285	1629
441	1286	1624
442	1288	1619
443	1289	1614
444	1294	1614
445	1296	1610
446	1297	1605
447	1299	1600
448	1300	1596
449	1302	1591
450	1303	1586
451	1304	1582
452	1311	1584
453	1314	1580
454	1316	1577
455	1318	1572
456	1319	1568
457	1324	1567
458	1330	1568
459	1332	1564
460	1334	1560
461	1336	1555
462	1337	1551
463	1339	1546
464	1340	1542
465	1341	1537
466	1343	1533
467	1344	1528
468	1346	1524
469	1350	1523
470	1352	1518
471	1353	1514
472	1355	1509
473	1356	1505
474	1357	1500
475	1358	1495
476	1360	1491
477	1366	1492
478	1367	1487
479	1369	1483
480	1370	1479
481	1372	1474
482	1373	1470
483	1374	1465
484	1376	1461
485	1430	1513
486	1433	1509
487	1435	1505
488	1437	1501
489	1440	1498
490	1445	1498
491	1447	1495
492	1450	1491
493	1452	1487
494	1454	1483
495	1456	1479
496	1461	1479
497	1464	1475
498	1466	1471
499	1468	1468
500	1470	1464
501	1472	1460
502	1474	1456
503	1475	1452
504	1477	1448
505	1480	1444
506	1484	1443
507	1487	1440
508	1489	1436
509	1491	1432
510	1493	1428
511	1495	1425
512	1500	1424
513	1508	1426
514	1510	1422
515	1517	1423
516	1519	1419
517	1520	1415
518	1522	1411
519	1525	1407
520	1528	1405
521	1530	1401
522	1532	1397
523	1534	1394
524	1536	1390
525	1538	1386
526	1584	1422
527	1587	1418
528	1590	1416
529	1593	1412
530	1595	1408
531	1599	1407
