iter	Passed	Remaining
0	1	150
1	2	142
2	4	137
3	5	126
4	6	124
5	7	123
6	9	121
7	10	120
8	11	119
9	13	118
10	14	116
11	15	115
12	17	113
13	18	112
14	19	111
15	20	109
16	22	107
17	23	106
18	24	105
19	26	104
20	27	103
21	28	101
22	29	100
23	31	99
24	32	97
25	34	97
26	35	95
27	36	94
28	37	92
29	39	91
30	40	90
31	42	89
32	43	88
33	44	86
34	46	85
35	47	84
36	48	83
37	50	81
38	51	80
39	52	79
40	54	78
41	54	75
42	56	74
43	57	73
44	58	71
45	60	70
46	61	69
47	62	67
48	63	66
49	65	65
50	66	63
51	69	63
52	71	63
53	73	62
54	74	60
55	76	59
56	77	58
57	78	56
58	80	55
59	81	54
60	82	52
61	84	51
62	85	50
63	86	48
64	88	47
65	89	46
66	90	44
67	91	43
68	93	41
69	94	40
70	95	39
71	97	37
72	98	36
73	99	35
74	101	33
75	102	32
76	103	30
77	105	29
78	106	28
79	107	26
80	109	25
81	110	24
82	111	22
83	113	21
84	114	20
85	115	18
86	116	17
87	118	16
88	119	14
89	120	13
90	122	12
91	124	10
92	126	9
93	127	8
94	128	6
95	130	5
96	131	4
97	132	2
98	133	1
99	135	0
